district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
海淀区	纯住宅	1	1	1	0	0	0	0	60000.0	4620.0	19.0	116.34491	39.949284	26	0	1	22	0	0	6	0	0	-93
朝阳区	纯住宅	1	1	1	1	1	0	0	45000.0	3304.0	14.0	116.467674	39.94643	3	0	1	1	0	0	1	0	0	-86
海淀区	商住两用	1	1	1	0	0	0	0	46000.0	5280.0	21.0	116.31355	39.939312	1	10	2	20	0	0	16	0	0	-50
东城区	商住两用	1	1	1	1	1	0	1	45000.0	3960.0	14.5	116.44591	39.89505	4	11	2	55	0	0	30	1	0	-70
朝阳区	纯住宅	1	1	1	0	0	0	0	58000.0	4627.0	20.0	116.412094	39.975586	2	1	1	22	0	1	18	1	0	-25
朝阳区	商住两用	1	1	1	1	0	0	0	49377.0	2640.0	18.0	116.44074	39.97116	1	6	2	41	0	1	55	1	0	-35
朝阳区	纯住宅	1	1	1	0	0	0	0	44000.0	4200.0	17.0	116.44831	39.985344	0	2	1	13	0	0	1	0	0	0
西城区	纯住宅	1	1	0	1	1	0	1	72600.0	2800.0	17.0	116.37684	39.88481	1	2	2	65	0	1	18	1	0	-90
朝阳区	纯住宅	1	1	1	0	0	0	0	50000.0	959.0	22.0	116.464165	39.898598	2	8	2	49	1	0	40	1	0	-66
朝阳区	酒店式公寓	1	1	0	0	0	0	1	45000.0	3682.8	17.5	116.45907	39.892876	0	0	2	59	0	2	7	0	0	-114
西城区	纯住宅	1	1	0	1	1	1	1	72600.0	2657.0	17.0	116.37556	39.884815	1	0	2	85	0	1	17	1	0	-99
西城区	商住两用	1	1	0	0	1	0	1	38430.0	5280.0	23.0	116.34772	39.870804	0	1	1	16	0	0	5	0	0	-64
西城区	商住两用	1	1	0	0	0	0	1	36000.0	3960.0	24.0	116.34779	39.883633	0	0	2	28	0	0	8	0	0	-60
朝阳区	写字楼	1	0	1	0	1	0	0	NULL	21120.0	18.0	116.48735	39.898827	0	2	1	23	0	0	16	0	0	-89
朝阳区	商住两用	1	1	0	0	0	1	1	48200.0	3960.0	22.0	116.46742	39.995968	0	2	2	212	0	0	13	1	0	-190
朝阳区	纯住宅	1	1	0	0	0	0	1	55000.0	2310.0	22.0	116.63558	40.33053	0	0	2	23	0	1	10	1	0	-2
海淀区	商住两用	1	1	0	0	0	0	1	38000.0	1320.0	16.0	116.30331	39.90827	1	0	1	12	0	1	16	0	0	-200
海淀区	商住两用	1	1	0	1	0	1	1	72727.0	22440.0	17.5	116.348595	39.975735	1	0	1	5	0	1	12	0	0	-118
海淀区	纯住宅	1	1	1	1	0	1	0	56940.0	2688.0	16.5	116.30425	39.91544	2	7	3	59	1	0	57	0	0	0
海淀区	写字楼	1	0	0	0	0	0	1	NULL	7040.0	16.0	116.33372	39.898838	2	2	1	6	1	0	18	1	0	-127
海淀区	写字楼	1	0	0	0	0	0	1	NULL	3520.0	27.0	116.231415	39.766575	0	0	0	0	0	0	4	0	0	-5
海淀区	纯住宅	1	1	0	0	0	0	1	67000.0	1628.0	20.0	116.35864	39.946487	0	21	5	42	4	0	93	0	0	-58
朝阳区	商住两用	1	1	1	1	1	0	1	58000.0	34320.0	19.0	116.45945	39.89771	0	2	2	36	0	1	19	1	0	-219
朝阳区	纯住宅	1	1	1	1	0	0	0	35000.0	1085.0	26.0	116.45289	39.929657	24	16	2	46	1	0	54	2	0	-59
朝阳区	纯住宅	1	1	1	0	1	0	1	41000.0	4200.0	15.5	116.47329	39.842197	0	0	0	19	0	0	13	0	0	-12
